country,year,labour_participation_rate,birth_rate,fertility_rate,mean_age_bearing,housing_value,total_deaths,death_rate,life_expectancy,total_pop,male_pop,female_pop,pop_density,median_age,pop_growth_rate,gender_wage_gap_perc,average_wage_rate,internet_access_perc,education_rate,crude_marriage_rate,crude_divorce_rate,suicide_rate,time
Belgium,2008,36.08614792,127,1.85,29.6,89.60525,105,9.8,79.6,10727,5254,5473,354.3,39.7,0.69,8.915753683,56177.76083,63.6276,32.310043,4.3,3.3,18.3,3
Belgium,2009,37.15175455,127,1.84,29.6,89.183,105,9.7,79.8,10801,5293,5509,356.7,39.8,0.7,7.480461481,56960.72919,67.4352,33.397053,4.0,3.0,18.3,4
Belgium,2010,39.15083359,129,1.86,29.7,91.9775,105,9.7,80.0,10878,5333,5545,359.3,40.0,0.72,7.04379562,56697.01024,72.7371,34.989502,3.9,2.7,18.2,5
Belgium,2011,40.32952983,126,1.82,29.8,95.67575,104,9.5,80.4,10956,5374,5582,361.8,40.1,0.71,5.838108883,57277.8636,76.5078,34.612984,3.7,2.5,18.6,6
Belgium,2012,41.35023535,126,1.8,30.0,97.8135,109,9.9,80.3,11031,5414,5617,364.3,40.2,0.66,6.411149826,57740.90477,77.7137,35.316551,3.8,2.3,17.9,7
Belgium,2013,44.09773,124,1.76,30.1,98.962,109,9.9,80.5,11103,5453,5651,366.7,40.3,0.64,5.912863071,58312.80648,80.0478,35.535332,3.4,2.2,16.6,8
Belgium,2014,45.0703418,123,1.74,30.3,98.417,105,9.4,81.1,11177,5492,5684,369.1,40.4,0.68,3.298900367,58637.19022,82.8041,36.855022,3.6,2.2,16.5,9
Belgium,2015,46.63920986,121,1.7,30.4,100.0,111,9.9,80.9,11248,5532,5717,371.5,40.5,0.6,4.672,58239.58513,81.825,36.857422,4.0,2.2,16.2,10
Belgium,2016,48.14560413,121,1.68,30.5,102.6405,108,9.6,81.3,11317,5570,5747,373.8,40.5,0.62,3.701298701,58364.7214,84.7857,37.503956,3.9,2.1,16.3,11
Belgium,2017,51.26378774,119,1.65,30.6,106.37275,110,9.7,81.4,11384,5607,5777,376.0,40.6,0.58,4.190296156,57956.77495,85.9684,40.257053,3.9,2.0,14.8,12
Belgium,2018,52.61009731,118,1.62,30.7,109.41525,111,9.7,81.5,11449,5643,5806,378.1,40.6,0.55,3.408756979,58270.11101,87.2725,40.638546,3.9,2.0,15.2,13
Canada,2005,65.86795662,336,1.54,29.6,56.9328549,230,7.2,80.1,32216,15967,16249,3.5,37.6,0.96,21.25,46335.08508,64.3,45.976749,4.6,2.2,11.3,0
Canada,2006,66.84379973,347,1.59,29.6,63.95037407,228,7.0,80.5,32532,16125,16407,3.6,37.9,0.99,21.12332112,47753.65616,68.1,46.881516,4.6,2.3,11.0,1
Canada,2007,67.63059608,364,1.65,29.7,71.75355895,235,7.2,80.5,32862,16288,16575,3.6,38.1,1.03,20.80823529,49148.17017,72.7,48.181564,4.5,2.2,10.7,2
Canada,2008,67.95058232,373,1.68,29.8,74.14010648,239,7.2,80.7,33219,16463,16756,3.7,38.3,1.12,20.45454546,49993.0186,74.6,48.706802,4.4,2.1,10.9,3
Canada,2005,57.91493784,336,1.54,29.6,56.9328549,230,7.2,80.1,32216,15967,16249,3.5,37.6,0.96,21.25,46335.08508,64.3,45.976749,4.6,2.2,11.3,0
Canada,2006,58.08797114,347,1.59,29.6,63.95037407,228,7.0,80.5,32532,16125,16407,3.6,37.9,0.99,21.12332112,47753.65616,68.1,46.881516,4.6,2.3,11.0,1
Canada,2007,59.26270098,364,1.65,29.7,71.75355895,235,7.2,80.5,32862,16288,16575,3.6,38.1,1.03,20.80823529,49148.17017,72.7,48.181564,4.5,2.2,10.7,2
Canada,2008,59.7250372,373,1.68,29.8,74.14010648,239,7.2,80.7,33219,16463,16756,3.7,38.3,1.12,20.45454546,49993.0186,74.6,48.706802,4.4,2.1,10.9,3
Czechia,2008,31.13973051,119,1.51,29.3,100.8,105,10.1,77.2,10379,5084,5295,134.4,38.3,0.42,17.87301988,24165.34644,45.8625,14.498895,5.1,3.0,13.0,3
Czechia,2009,31.84403772,118,1.51,29.4,96.925,107,10.3,77.3,10422,5109,5313,135.0,38.5,0.4,15.10501797,24068.57889,54.1836,15.544437,4.6,2.8,13.6,4
Czechia,2010,30.87537166,116,1.51,29.6,95.225,107,10.2,77.6,10465,5134,5330,135.5,38.7,0.43,15.79850307,24808.31447,60.5179,16.764982,4.5,2.9,13.9,5
Czechia,2011,30.07679341,109,1.43,29.7,95.25,107,10.2,77.8,10496,5153,5344,136.0,38.9,0.18,16.3296567,25010.46422,66.6342,18.243177,4.3,2.7,14.7,6
Czechia,2012,31.2699113,108,1.45,29.7,93.85,108,10.3,78.0,10511,5161,5350,136.1,39.2,0.1,15.26297988,25056.26199,72.5515,19.277992,4.3,2.5,15.2,7
Czechia,2013,31.54694243,107,1.46,29.8,93.875,109,10.4,78.2,10515,5163,5351,136.2,39.6,-0.04,15.37883532,24900.04816,72.6166,20.45986,4.1,2.7,14.5,8
Czechia,2014,32.19822399,109,1.53,29.9,96.175,106,10.0,78.8,10517,5166,5351,136.2,40.0,0.09,16.2545602,25425.17452,77.9899,21.51013,4.3,2.5,13.7,9
Czechia,2015,32.47750627,110,1.57,30.0,100.0,111,10.6,78.6,10524,5172,5352,136.3,40.3,0.04,16.45515416,26172.85816,78.9753,22.186741,4.6,2.5,12.6,10
Czechia,2016,31.97927132,112,1.63,30.0,107.15,108,10.2,79.0,10528,5177,5351,136.4,40.7,0.03,16.02343084,27097.1678,81.65,22.971544,4.8,2.4,12.0,11
Czechia,2017,31.65097614,113,1.68,30.0,119.7,111,10.6,79.0,10531,5181,5350,136.4,41.1,0.04,15.61401089,28482.1251,83.2351,23.927534,5.0,2.4,12.8,12
Czechia,2018,30.40641283,112,1.71,30.1,130.0,113,10.7,79.0,10535,5186,5349,136.5,41.5,0.02,15.12741386,29990.70069,86.3574,24.262077,5.1,2.3,12.3,13
Czechia,2019,29.71471857,110,1.71,30.1,141.9,112,10.6,79.2,10537,5189,5348,136.5,41.9,0.02,14.71433226,31236.45301,86.9996,24.212393,5.1,2.3,10.7,14
Czechia,2020,27.27216184,107,1.71,30.1,153.85,125,11.8,78.6,10531,5187,5343,136.4,42.2,-0.13,12.37286209,30912.16252,88.0204,24.853664,4.2,2.0,10.9,15
